cid,cmpdname,cmpdsynonym,mw,mf,inchi,exactmass
178,Acetamide,"acetamide|60-35-5|Ethanamide|Acetic acid amide|Methanecarboxamide|Acetimidic acid|Ethanimidic acid|acetamid|Amide C2|Amid kyseliny octove|Caswell No. 003H|Acetimidic acid (VAN)|CCRIS 2|NCI-C02108|CH3CONH2|HSDB 4006|Amid kyseliny octove [Czech]|Essigsaeureamid|Ethanamid|AI3-02060|UNII-8XOE1JSO29|EINECS 200-473-5|8XOE1JSO29|NSC 25945|BRN 1071207|DTXSID7020005|CHEBI:27856|ACETAMIDE [MI]|ACETAMIDE [FHFI]|ACETAMIDE [HSDB]|ACETAMIDE [IARC]|MFCD00008023|NSC-25945|DTXCID505|ACETAMIDE [WHO-DD]|FEMA NO. 4251|CHEBI:49028|EC 200-473-5|4-02-00-00399 (Beilstein Handbook Reference)|ACETAMIDE (IARC)|acetoamide|acetamido|acetylamine|imidoacetic acid|N-Methylformamde|methanecarboxyamide|methane, carbamoyl-|Acetamido (Spanish)|Acetamide, >=98%|Lopac-A-0500|bmse000825|bmse000895|Acetamide, sublimed, 99%|WLN: ZV1|Acetic acid amide;Ethanamide|Acetamide, ~99% (GC)|Lopac0_000003|MLS002153504|Acetamide, analytical standard|BIDD:ER0566|CHEMBL16081|Amid kyseliny octove (Polish)|GTPL4661|Acetamide, crystalline, >=99%|Acetamide, >=98.0% (GC)|Acetamide, >=99.0% (GC)|HMS3260A07|Acetamide (6CI,7CI,8CI,9CI)|BCP26153|HY-Y0946|NSC25945|STR01066|Tox21_300776|Tox21_500003|s6011|STL283915|AKOS000118788|AKOS015917387|CCG-204099|DB02736|LP00003|SDCCGSBI-0049992.P002|99.8% pound notpurified by sublimation|CAS-60-35-5|NCGC00015030-01|NCGC00015030-02|NCGC00015030-03|NCGC00015030-04|NCGC00015030-05|NCGC00015030-06|NCGC00093530-01|NCGC00093530-02|NCGC00254680-01|NCGC00260688-01|SMR000326670|DB-342147|A0007|CS-0015934|EU-0100003|NS00006888|EN300-15608|A 0500|C06244|Q421721|SR-01000076247|J-523678|SR-01000076247-1|Acetamide, zone-refined, purified by sublimation, 99%|Z33546370|F1908-0077|02U|74330-92-0",59.07,C2H5NO,"InChI=1S/C2H5NO/c1-2(3)4/h1H3,(H2,3,4)",59.0371
204,Allantoin,"allantoin|97-59-6|5-Ureidohydantoin|Glyoxyldiureide|1-(2,5-dioxoimidazolidin-4-yl)urea|Cordianine|Glyoxyldiureid|Allantol|Alantan|Sebical|AVC/Dienestrolcream|Urea, (2,5-dioxo-4-imidazolidinyl)-|Psoralon|Septalan|Hydantoin, 5-ureido-|Cutemol emollient|(2,5-Dioxo-4-imidazolidinyl)urea|Uniderm A|(2,5-dioxoimidazolidin-4-yl)urea|Glyoxylic(acid) diureide|DL-Allantoin|Glyoxylic diureide|NSC 7606|5-Ureido-2,4-imidazolidindion|Alwextin|Caswell No. 024|CCRIS 1958|2,5-Dioxo-4-imidazolidinyl-urea|N-(2,5-Dioxo-4-imidazolidinyl)urea|EPA Pesticide Chemical Code 085701|4-ureido-2,5-Imidazolidinedione|Idelalisib metabolite m1a|AI3-15281|NSC-7606|Fancol TOIN|5-Ureidohydrantoin|EINECS 202-592-8|MFCD00005260|BRN 0102364|(+/-)-Allantoin|5-Ureido-2,4-imidazolidindione|DTXSID3020043|UNII-344S277G0Z|CHEBI:15676|HSDB 7490|NSC7606|Allantoin (JAN/USP)|N-(2,5-dioxoimidazolidin-4-yl)urea|344S277G0Z|97-59-6 (racemic)|DTXCID0043|MLS000737882|5377-33-3|Sd 101|Allantoin [USAN:USP:BAN:JAN]|EC 202-592-8|5-25-15-00338 (Beilstein Handbook Reference)|DL-ALLANTOIN-5-13C; 1-15N|urea, N-(2,5-dioxo-4-imidazolidinyl)-|ALLANTOIN (II)|ALLANTOIN [II]|Herpecin L|ALLANTOIN (MART.)|ALLANTOIN [MART.]|D00121|ALLANTOIN (USP-RS)|ALLANTOIN [USP-RS]|ALLANTOIN (EP MONOGRAPH)|ALLANTOIN [EP MONOGRAPH]|ALLANTOIN (USP MONOGRAPH)|ALLANTOIN [USP MONOGRAPH]|Allantoin (USAN:USP:BAN:JAN)|C4H6N4O3|Allantoin [USAN:BAN]|SMR000528073|SR-01000766252|Alantoina|Scarderm|Teevodar|Purple|ScarEquate|Allantoin Cream|Mulberry Serum|Mulberry Toner|Chamois Glide|Scar Reducer|Sol Mouthwash|HealingCVS|Cool Melon|Equate Scar|Kenaf wet wipe|Polyactil N|Scar Cream|Scar Care|Anti Chafe Balm|Meijer Scar Gel|Mulberry Emulsion|Scar Gel|Bruise MD|Mederma for Kids|ScarCVS|Rite Aid Scar|Vitamin C Liquid|BL Vital Serum|AC Control Serum|BL Vital|BL Vital Essence|BL Vital Skin|CAS-97-59-6|Equate ScarTopical|Advanced Scar Gel|Bodyglide For Her|Prestwick_11|NCGC00016358-01|Allation,(S)|DCH Scar|Diabetic Wound Gel|QC Scar|Run Guard Original|U-max Multi BB|5-ureido-Hydantoin|Allantoin (8CI)|Allantoin .4%|Burn-B Gone OTC|GMDANSU Skin|Run Guard Sensitive|Kenaf wet wipe kids|Allantoin 0.5%|Allantoin-0.5%|Advanced Derma Spray|ARC Skin Protectant|ATOBOS|HAHALADY|NAAMAN|Sarene Soothing Skin|Seaweed Aqua Massage|SEUK|Smart Brushing Tooth|The Prestige Essence|Ultra Soothing Toner|VASHTI|Healing Head to Toe|GMDANSU Eye Serum|Pelo Baum Brow Brow|Pelo Baum Lash Lash|Mederma Advanced Scar|Mandelic 2 Peel Gel|RAPHAGENPOWDE R|SOOSUL ESSENCE|ALRA THERAPY|ATOBOS WASH|MIRACLE GYN|Advanced Derma Therapy|Wound Gel Professional|FUCOIDAN ESSENCE|Lycoris rubus whitening|NoblRose Foam Cleanser|Version X Scalp Tonic|DOG MX BANDAGE|First honey Burn Salve|NEWSTEM Rx Intensive|Spectrum_001078|REVAGAIN Scalp Tonic|FUCOIDAN SKINCURE|ALLANTOIN [JAN]|ALLANTOIN [MI]|Jilgyungyi (6 Tablets)|PORE CARE Lotus Mask|Scar GelAdvanced Formula|ALLANTOIN [HSDB]|ALLANTOIN [USAN]|Bodyglide anti chafe balm|Prestwick0_000002|Prestwick1_000002|Prestwick2_000002|Prestwick3_000002|Spectrum2_000219|Spectrum3_000876|Spectrum4_000716|Spectrum5_001526|Target Advanced Scar Gel|ALLANTOIN [VANDF]|Nano Gold Bio Mask Pack|Baby Wipes with Allantoin|Drs. pharmacy Scar Cream|SBS 41 Medicated Cream|ECO FACE 9|Jilgyungyi (10 Tablets)|BLACK CAVIDIOL MASK|FUCOIDAN HAIR TONIC|Gene 16 Whitening Factor|REBORNCELL CLEANSING|bmse000437|OHL O2|Anti-Chafe StickPro Series|ALLANTOIN [WHO-DD]|Calm and Heal Melting Balm|Miracle GYN (2 Tablets)|Miracle GYN (4 Tablets)|SCHEMBL3208|Cetaphil Soothing Gel Cream|GMDANSU Herbal Mask Sheet|Pelo Baum Hair Revitalizing|Rite Aid Advanced Scar Gel|Sheffield Advanced Scar Gel|Walgreens Advanced Scar Gel|BIOWHITE BEAUTY SERUM|DR DEEP AQUA WRINKLE|OZ TREEHandMade by Dorothy|Secret Gyno (10 Tablets)|Shelo NABEL D B T Cream|Oprea1_621175|Tamnamo Vital Hair Treatment|BSPBio_000003|BSPBio_002551|KBioGR_001271|KBioSS_001558|Miracle GYN (10 Tablets)|Shelo NABEL Jabon Baba Car|SISEUNDEUSI BLESS BODY|VetraCare Pet Liquid Bandage|Dr. Dog Skin Care for Dogs|Luxury Cell Performance Serum|Luxury Cell Performance Toner|M-Rose Seaweed Essence Serum|M-Rose Seaweed Hydrogel Mask|MLS002473300|Shelo NABEL Baba de Caracol|Well and Good Liquid Bandage|Allantoin, analytical standard|DivK1c_000281|SPECTRUM1500801|CVS Health Advanced Scar Gel|Macoma Senior Premium Cleanser|Queen Perfume Hair Conditioner|SPBio_000237|SPBio_001924|Cellpium vampire cleansing mask|Dermaheal Ultimatum PTx Sports|Lycoris RUBUS Whitening Fluid|BPBio1_000005|CHEMBL593429|Diabetic Wound Gel Professional|Hasol Revitalizing Scalp Ampoule|Inflammation OTCRadiation Relief|Luxury Cell Performance Emulsion|SD 101 [WHO-DD]|5-Ureidohydantoin;Glyoxyldiureide|ATOBOS BABY AQUA SOOTHING|HAIRJOY MSM SCALP ESSENCE|HMS500O03|KBio1_000281|KBio2_001558|KBio2_004126|KBio2_006694|KBio3_002051|REBORNCELL AQUA RICH SOFT|VET WORTHY LIQUID BANDAGE|Vital Fluid IV Nano Gold Serum|Allantoin, >=98.0% (N)|Parma Anus Skin Premium Cleanser|PLAGENTRA BABY BUBBLE WASH|Leaders Mediu Purifying Salt Pack|NINDS_000281|Urea,5-dioxo-4-imidazolidinyl)-|Dr Deep Brightening FacialEmulsion|HMS1568A05|HMS1921I10|HMS2092K16|HMS2095A05|HMS2268N08|HMS3712A05|HMS3885M08|LUMINANT UMBRELLA MASK PACK|Pharmakon1600-01500801|Fikia Marine Delight Soothing Mist|Shelo NABEL CACAO Skin Protectan|U-max Whitening Functional Essence|3CE FIXER AND MASCARA BLACK|3CE FIXER AND MASCARA BROWN|BCP31832|Blister Armour Anti-FrictionMission|component of Skin-balm (Salt/Mix)|HY-N0543|Lycoris rubus whitening moisturizing|M-Rose Seaweed Lifting Revitalizing|PHYTON THERAPY CLEANSING BAR|Ramosu The Witches Cream Pack Gold|Shelo NABEL Crema Baba de Caracol|2,5-Imidazolidinedione, 4-ureido-|Cellapy MGF Hydro Gel Intense Mask|Tox21_110395|Tox21_202087|Tox21_302912|BBL027508|CCG-39781|IASOBETIC Allantoin Skin Protectant|NSC757792|s3856|STL373778|BK Cell 2STEP AQUA TOKTOK MASK|REBORNCELL AQUA RICH PURE SKIN|AKOS000120642|AKOS016038547|Dr Young 2p Blemish Base SPF35 PA|Skin Barista Rice Bran Cleansing Foam|Tox21_110395_1|1ST2594|By Pharmicell Lab The Prestige Essence|Cetaphil Baby Soothe and Protect Cream|CS-7741|DB11100|NSC-757792|SDCCGMLS-0066595.P001|IDI1_000281|USEPA/OPP Pesticide Code: 085701|Allantoin, p.a., 98.5-101.0%|IONTOPHORESISANTI AGING SOLUTION I|N-(2,5-Dioxo-4-imidazolidinyl)urea #|NCGC00094854-01|NCGC00094854-02|NCGC00094854-03|NCGC00094854-04|NCGC00094854-05|NCGC00094854-06|NCGC00094854-07|NCGC00094854-08|NCGC00256403-01|NCGC00259636-01|(RS)-(2,5-dioxoimidazolidin-4-yl)urea|AC-11040|AS-13865|NCI60_041675|Scar ReducerIntensive Herbal and Nutrient|DGH Advanced Formula Scar Skin Protectant|N-(2,5-Dioxo-4(1h)-imidazolidinyl)urea|QYO QYO Tangerine Bright Moist Mask Pack|SBI-0051759.P002|Vital Fluid I Platinum Anti Wrinkle Serum|Leaders Mediu Pore Cleaning Carbonated Pack|NOBLESSE MANZ GROOMING SO CLEAN CARE|A0211|AB00052307|BIOXIDEA ELEMENT 48 NATURA GOLD MASK|HAIRFILL SCALP HAIR ESSENTIAL BOOSTER|LEADERS MEDIU CALMING PEPPERMINT PACK|NS00009152|Shelo NABEL Baba de Caracol Locion Corporal|Vital Fluid II EGF and FGF Whitening Serum|EN300-21043|SECRETIPSS SCALP HAIR ESSENTIAL BOOSTER|BIOXIDEA ELEMENT 48 NATURA DIAMOND MASK|C01551|D85069|HAIRFILL SCALP HAIR ESSENTIAL TONIC PLUS|Urea, (2,5-dioxo-4-imidazolidinyl)- (9CI)|AB00052307_11|BIOXIDEA MIRACLE 48 EXCELLENCE GOLD MASK|By Pharmicell Lab Luxury Cell Performance Serum|By Pharmicell Lab Luxury Cell Performance Toner|By Pharmicell Lab Moisturizing Face Toning Mist|Dr. Young 2P Pearl Brightening Balm SPF35 PA|Jabon Shelo Nabel Con Alantoina Baba de Caracol|By Pharmicell Lab Luxury Cell Performance Emulsion|Q409804|SECRETIPSS SCALP HAIR ESSENTIAL TONIC PLUS|BIOXIDEA MIRACLE 48 EXCELLENCE DIAMOND MASK|HYUNDAE MEDITECH BIO HAIR SOLU TION ERUA DO|J-522839|ORIGINAL POWER WHITENING AND LINELESS AMPOULE|SkinCeuticals Advanced Scar Control Skin Protectant|SR-01000766252-2|SR-01000766252-3|SR-01000766252-4|W-100104|BRD-A96407378-001-15-1|N-(2,5-dihydroxy-4h-imidazol-4-yl) carbamimidic acid|Z104486690|Allantoin, European Pharmacopoeia (EP) Reference Standard|NANOMIX NANO CLEANSkin Protectant Antibacterial Function|A999F0D6-0285-41D9-A6BA-B705987B663C|Allantoin, United States Pharmacopeia (USP) Reference Standard|BOTANETH PRONOXIN HAIR REGAINER FS2 ACTIVATOR 2-A 2-B|Allantoin, Pharmaceutical Secondary Standard; Certified Reference Material|SECRETIPSS SCALP HAIR ESSENTIAL BOOSTERINTENSE CARE FOR DAMAGED SCALPS AND HAIRS|5-Ureidohydantoin; Glyoxyldiureide; Glyoxylic diureide; Cordianine; Glyoxyldiureid; (2,5-Dioxo-4-imidazolidinyl)urea",158.12,C4H6N4O3,"InChI=1S/C4H6N4O3/c5-3(10)6-1-2(9)8-4(11)7-1/h1H,(H3,5,6,10)(H2,7,8,9,11)",158.044
402,Hydrogen Sulfide,"hydrogen sulfide|sulfane|Hydrosulfuric acid|Dihydrogen monosulfide|Stink DAMP|Hydrogen sulphide|Dihydrogen sulfide|Sulfureted hydrogen|7783-06-4|Sewer gas|Hydrogene sulfure|Acide sulfhydrique|Schwefelwasserstoff|Netzschwefel|Zwavelwaterstof|Kolospray|Liquamat|Micowetsulf|Microflotox|Siarkowodor|Colsul|Crystex|Elosal|Hexasul|Kolofog|Kumulus|Sastid|Cosan|Hydrogen sulfide (H2S)|Polsulkol Extra|Hydrogen-sulfide|Idrogeno solforato|Corosul D and S|RC-Schwefel Extra|Hydrogen monosulfide|Kolloidschwefel 95|Sulfuretted hydrogen|Cosan 80|Hepatic acid|Hydrogene sulphure|Kolo 100|Acide sulphhydrique|RCRA waste number U135|Hydrogen sulfuric acid|dihydridosulfur|FEMA No. 3779|UN 1053|YY9FVM7NSN|CHEBI:16136|Hepatic gas|Hydrogen sulfure|H2S|dihydrogen(sulfide)|sulfure d'hydrogene|Sulfur-32S|HSDB 576|CHEBI:26833|UNII-YY9FVM7NSN|EINECS 231-977-3|SULPHUR HYDROGENISATUM|DIHYDROGEN MONOSULPHIDE|DTXSID4024149|Collokit|Kristex|Microthiol|Shreesul|Sulfur (>80%)|Sulfur (>98%)|Kumulus FL|Sulfur-(32-S)|EC 231-977-3|Magnetic 6|Caswell No. 812|azufre|HYDROGEN SULFIDE (MART.)|HYDROGEN SULFIDE [MART.]|mercaptans|thiols|(SH2)|[SH2]|Proactiv|Transact|Schwefel, feinverteilter|Thiol|Sulfide, Hydrogen|Siarkowodor [Polish]|Hydrogen sulfide H2S|Magnetic 70, 90, and 95|HSDB 5166|Sulfur - S @ 0 microg/g in Heavy Mineral Oil|Sulfur - S @ 1.00 wt% in Heavy Mineral Oil|Sulfur Standard: S @ 10000 microg/mL in H2O|Sulfur Standard: S BLK (0 wt%) in Crude Oil|Zwavelwaterstof [Dutch]|Sulfur - S @ 500 microg/g in Heavy Mineral Oil|EINECS 231-722-6|NA1350|NA2448|UN1350|UN2448|Hydrogen sulfure [French]|RCRA waste no. U135|EPA Pesticide Chemical Code 077501|Hydrogene sulfure [French]|NSC 403664|Acide sulfhydrique [French]|monosulfane|Schwefelwasserstoff [German]|theion|Hydrosulfurate|Idrogeno solforato [Italian]|Acnaveen|Cuticura|Eskamel|Hepatate|Merkaptan|Schwefel|Acnil|Meted|a thiol|Sulfur Standard: S @ 1000 microg/g (0.100 wt%) in Crude Oil|Sulfur Standard: S @ 10000 microg/g (1.00 wt%) in Crude Oil|Sulfur Standard: S @ 20000 microg/g (2.00 wt%) in Crude Oil|Sulfur Standard: S @ 2500 microg/g (0.250 wt%) in Crude Oil|Sulfur Standard: S @ 30000 microg/g (3.00 wt%) in Crude Oil|Sulfur Standard: S @ 40000 microg/g (4.00 wt%) in Crude Oil|Sulfur Standard: S @ 5000 microg/g (0.500 wt%) in Crude Oil|Sulfur Standard: S @ 50000 microg/g (5.00 wt%) in Crude Oil|Sour gas|Sulfur, molten|37331-50-3|Dome-Acne|intracellular S0|Sulfur Standard: S @ 7500 microg/g (0.750 wt%) in 20 cSt Mineral Oil|Sulfur (Powder)|Bensulfoid (TN)|Dihydrogen sulphide|RSH|Sastid (TN)|UN1053|component of Bensulfoid|SULFUR DIHYDRIDE|Sour gas (Salt/Mix)|Magnetic 70, and 95|EC 231-722-6|SULPHURETTED HYDROGEN|63705-05-5|HYDROGEN SULFIDE [MI]|SULFUR HYDRIDE (SH2)|DTXCID404149|Hydrogen sulfide, >=99.5%|HYDROGEN SULFIDE [FHFI]|HYDROGEN SULFIDE [HSDB]|CHEMBL1200739|CHEMBL2105487|NIOSH/MX1229000|CHEBI:29256|Sulfur Blank (0%) in Isooctane|PXQLVRUNWNTZOS-UHFFFAOYSA-N|DTXSID201029845|HYDROGEN SULFIDE, LIQUEFIED|HYDROGEN SULPHIDE, LIQUEFIED|Sulfur Blank (0 wt%) in Kerosene|Sulfur [NA1350]  [Class 9]|BDBM50147625|BDBM50498447|NSC403664|Sulfur Blank (0 wt%) in Isooctane|SULPHUR HYDROGENISATUM [HPUS]|Hydrogen sulfide, purum, >=99.0%|AKOS015833648|AKOS015950634|Sulfur - S @15microg/g, 500 mL|Sulphur in Diesel, Low (7.2 mg/kg)|Sulfur [UN1350]  [Flammable solid]|Sulfur Blank (0%) in Synthetic Diesel|Sulfur @ 7000microg/g in Residual Oil|BP-21056|Q682|Sulfur Blank (0%) in Heavy Mineral Oil|Sulfur Blank (0%) in Light Mineral Oil|Sulfur Blank (0%) in Odourless Kerosene|Sulfur, molten [NA2448]  [Class 9]|Hydrogen sulfide [UN1053]  [Poison gas]|Sulfur @ 0.0005% (5ppm) in Isooctane|Sulfur @ 0.001% (10ppm) in Isooctane|Sulfur @ 0.005% (50ppm) in Isooctane|Sulfur @ 0.01% (100ppm) in Isooctane|Sulfur @ 0.03% (300ppm) in Isooctane|Sulfur @ 0.05% (500ppm) in Isooctane|Sulfur @ 0.07% (700ppm) in Isooctane|Sulfur @ 0.1% (1000ppm) in Isooctane|Sulfur @ 0.3% (3000ppm) in Isooctane|Sulfur Blank (0 wt%) in #2 Diesel Fuel|MX12290000|NS00075432|PTP Sample for Sulfur in Isooctane Analysis|Sulfur - S @ 2.00 wt% in Heavy Mineral|Sulfur @ 0.0025% (25ppm) in Isooctane|Sulfur @ 0.025% (250ppm) in Isooctane|Sulfur @ 0.075% (750ppm) in Isooctane|Sulfur @ 0.25% (2500ppm) in Isooctane|Sulfur @ 10 microg/g, from Polysulfide Oil|U0149|Sulfur - S @ 2% in Residual Oil, 500mL|Sulfur, powder, 99.998% trace metals basis|C00087|C00283|D00024|F21255|Sulfur - S @ 0ug/g in Light Mineral, 1 gal|Sulfur - S @ 1% in Residual Oil, 1 Gallon|Sulfur - S @ 200microg/g in #2 Diesel fuel|Sulfur - S @ 4% in Residual Oil, 1 Gallon|Sulfur - S @ 400microg/g in #2 Diesel fuel|Sulfur - S @ 5% in Residual Oil, 1 Gallon|Sulfur @ 1% (10000ppm) in Synthetic Diesel|Sulfur @ 2% (20000ppm) in Synthetic Diesel|Sulfur @ 3% (30000ppm) in Synthetic Diesel|Sulfur @ 4% (40000ppm) in Synthetic Diesel|Sulfur @ 5% (50000ppm) in Synthetic Diesel|Sulfur Blank (0 wt%) in 20 cSt Mineral Oil|Sulfur Blank (0 wt%) in 75 cSt Mineral Oil|Sulfur, molten [UN2448]  [Flammable solid]|di-n-butyl sulfide, S @ 22% nominally, 100g|Sulfur - S @ 2% in Resdidual Oil , 1 Gallon|Sulfur - S @ 3% in Residual Oil , 1 Gallon|Sulfur - S @ 3.00 wt% in Heavy Mineral Oil|Sulfur - S @ 4.00 wt% in Heavy Mineral Oil|Sulfur - S @ 400ug/g in #2 Diesel Fuel, L|Sulfur - S @ 5 microg/g in Heavy Mineral Oil|Sulfur - S @ 5.00 wt% in Heavy Mineral Oil|Sulfur @ 0.0005% (5ppm) in Synthetic Diesel|Sulfur @ 0.001% (10ppm) in Synthetic Diesel|Sulfur @ 0.005% (50ppm) in Synthetic Diesel|Sulfur @ 0.01% (100ppm) in Synthetic Diesel|Sulfur @ 0.03% (300ppm) in Synthetic Diesel|Sulfur @ 0.05% (500ppm) in Synthetic Diesel|Sulfur @ 0.07% (700ppm) in Synthetic Diesel|Sulfur @ 0.1% (1000ppm) in Synthetic Diesel|Sulfur @ 0.3% (3000ppm) in Synthetic Diesel|Sulfur @ 0.5% (5000ppm) in Synthetic Diesel|Sulfur @ 1% (10000ppm) in Odourless Kerosene|Sulfur @ 2% (20000ppm) in Odourless Kerosene|Sulfur @ 3% (30000ppm) in Odourless Kerosene|Sulfur @ 4% (40000ppm) in Odourless Kerosene|Sulfur @ 5% (50000ppm) in Odourless Kerosene|Sulfur in Residual Oil @ 10,000microg/g, 1L|Sulfur in Residual Oil @ 20,000microg/g, 1L|Sulfur in Residual Oil @ 30,000microg/g, 1L|Sulfur in Residual Oil @ 40,000microg/g, 1L|Sulfur in Residual Oil @ 50,000microg/g, 1L|Sulfur Standard: S @ 250microg/g in Isooctane|PTP Sample for Sulfur in #2 Diesel Fuel Analysis|PTP Sample for Sulfur in B100 Biodiesel Analysis|Q170591|Sulfur - S @ 0.300 wt% in Heavy Mineral Oil|Sulfur - S @ 0.500 wt% in Heavy Mineral Oil|Sulfur - S @ 0.750 wt% in Heavy Mineral Oil|Sulfur - S @ 0ug/g in #2 Diesel Fuel, 500mL|Sulfur - S @ 10 microg/g in Heavy Mineral Oil|Sulfur - S @ 100microg/g in Heavy Mineral Oil|Sulfur - S @ 1500microg/g in Heavy Mineral Oil|Sulfur - S @ 20 microg/g in Heavy Mineral Oil|Sulfur - S @ 200 microg/g in Heavy Mineral Oil|Sulfur - S @ 25 microg/g in Heavy Mineral Oil|Sulfur - S @ 2wt% in #2 Diesel Fuel, 1 Liter|Sulfur - S @ 3.00wt% in #2 Diesel, 500mL|Sulfur - S @ 3.00wt% in Residual Oil, 500mL|Sulfur - S @ 300 microg/g in Heavy Mineral Oil|Sulfur - S @ 4.00wt% in Residual Oil, 500mL|Sulfur - S @ 4000microg/g in Heavy Mineral Oil|Sulfur - S @ 5.00wt% in Residual Oil, 500mL|Sulfur - S @ 50 microg/g in Heavy Mineral Oil|Sulfur - S @ 5ug/g in #2 Diesel Fuel, 1 Gal|Sulfur - S @ 5ug/g in #2 Diesel Fuel, 500mL|Sulfur - S @ 750 microg/g in Heavy Mineral Oil|Sulfur @ 0.0005% (5ppm) in Heavy Mineral Oil|Sulfur @ 0.0005% (5ppm) in Light Mineral Oil|Sulfur @ 0.0005% (5ppm) in Odourless Kerosene|Sulfur @ 0.001% (10ppm) in Heavy Mineral Oil|Sulfur @ 0.001% (10ppm) in Light Mineral Oil|Sulfur @ 0.001% (10ppm) in Odourless Kerosene|Sulfur @ 0.0025% (25ppm) in Synthetic Diesel|Sulfur @ 0.005% (50ppm) in Heavy Mineral Oil|Sulfur @ 0.005% (50ppm) in Light Mineral Oil|Sulfur @ 0.005% (50ppm) in Odourless Kerosene|Sulfur @ 0.01% (100ppm) in Heavy Mineral Oil|Sulfur @ 0.01% (100ppm) in Light Mineral Oil|Sulfur @ 0.01% (100ppm) in Odourless Kerosene|Sulfur @ 0.025% (250ppm) in Synthetic Diesel|Sulfur @ 0.03% (300ppm) in Heavy Mineral Oil|Sulfur @ 0.03% (300ppm) in Light Mineral Oil|Sulfur @ 0.03% (300ppm) in Odourless Kerosene|Sulfur @ 0.05% (500ppm) in Heavy Mineral Oil|Sulfur @ 0.05% (500ppm) in Light Mineral Oil|Sulfur @ 0.05% (500ppm) in Odourless Kerosene|Sulfur @ 0.07% (700ppm) in Heavy Mineral Oil|Sulfur @ 0.07% (700ppm) in Light Mineral Oil|Sulfur @ 0.07% (700ppm) in Odourless Kerosene|Sulfur @ 0.075% (750ppm) in Synthetic Diesel|Sulfur @ 0.1% (1000ppm) in Heavy Mineral Oil|Sulfur @ 0.1% (1000ppm) in Light Mineral Oil|Sulfur @ 0.1% (1000ppm) in Odourless Kerosene|Sulfur @ 0.25% (2500ppm) in Synthetic Diesel|Sulfur @ 0.3% (3000ppm) in Heavy Mineral Oil|Sulfur @ 0.3% (3000ppm) in Light Mineral Oil|Sulfur @ 0.3% (3000ppm) in Odourless Kerosene|Sulfur @ 0.5% (5000ppm) in Heavy Mineral Oil|Sulfur @ 0.5% (5000ppm) in Light Mineral Oil|Sulfur @ 0.5% (5000ppm) in Odourless Kerosene|Sulfur @ 1% (10000ppm) in Heavy Mineral Oil|Sulfur @ 1% (10000ppm) in Light Mineral Oil|Sulfur @ 1.5% (15000ppm) in Synthetic Diesel|Sulfur @ 2% (20000ppm) in Heavy Mineral Oil|Sulfur @ 2% (20000ppm) in Light Mineral Oil|Sulfur @ 3% (30000ppm) in Heavy Mineral Oil|Sulfur @ 3% (30000ppm) in Light Mineral Oil|Sulfur @ 3500microg/g in Residual Oil, 100mL|Sulfur @ 4% (40000ppm) in Heavy Mineral Oil|Sulfur @ 4% (40000ppm) in Light Mineral Oil|Sulfur @ 5% (50000ppm) in Heavy Mineral Oil|Sulfur @ 5% (50000ppm) in Light Mineral Oil|Sulfur @ 7000microg/g in Residual Oil, 500mL|Sulfur Standard: S @ 250 microg/g in Isooctane|Q7636182|Sulfur - S @ 0ug/g in #2 Diesel Fuel, 1 gallon|Sulfur - S @ 0ug/g in Light Mineral Oil, 500mL|Sulfur - S @ 1.00wt% in Residual Oil,  500mL|Sulfur - S @ 1000 microg/g in Heavy Mineral Oil|Sulfur - S @ 10ug/g in #2 Diesel Fuel, 1 Gal|Sulfur - S @ 10ug/g in #2 Diesel Fuel, 500mL|Sulfur - S @ 15ug/g in #2 Diesel Fuel, 1 Gal|Sulfur - S @ 15ug/g in #2 Diesel Fuel, 500mL|Sulfur - S @ 20ug/g in #2 Diesel Fuel, 500mL|Sulfur - S @ 25ug/g in #2 Diesel Fuel, 1 Gal|Sulfur - S @ 25ug/g in #2 Diesel Fuel, 500mL|Sulfur ",34.08,H2S,InChI=1S/H2S/h1H2,33.9877
783,Hydrogen,"1333-74-0|H|Hydrogen|Molecular hydrogen|Dihydrogen|Hydrogen atom|Atomic hydrogen|Hydrogen gas|Protium|H2|1-Butanol, titanium(4+) salt, monohydrate, homopolymer (9CI)|Hydrogen, atomic|hidrogeno|hydrogene|Wasserstoff|alpha-cellulose|Cellulose powder|o-Hydrogen|p-Hydrogen|hydrogen molecule|Powdered cellulose|monoatomic hydrogen|3A molecular sieve|HYDROGEN [HSDB]|alpha-Cellulose, 90mum|HYDROGEN [MI]|T101 Monoclonal Antibody|HYDROGEN [WHO-DD]|COware 20ml with H-Caps|7YNJ3PO35Z|Hydrogen, >=99.99%|Hydrogen, >=99.999%|DTXSID9029643|CHEBI:18140|CHEBI:18276|CHEBI:33251|CHEBI:49637|YZCKVEUIGOORGS-UHFFFAOYSA-N|BBL103822|NSC356464|STL557632|alpha-Cellulose, 25mum particle size|alpha-Cellulose, 65mum particle size|AKOS016038407|NSC-356464|UN 1049|UN 1966|E949|Hydrogen, Messer(R) CANgas, 99.999%|E 949|E-949|NS00080750|C00282|alpha-Cellulose, Partical size: d50,180-280mum|alpha-Cellulose, Partical size: d50,90-150mum|Q3027893|1-Butanol,titanium(4+)salt,monohydrate,homopolymer(9ci)|1H|H-H",2.016,H2,InChI=1S/H2/h1H,2.01565
